cluster index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
284,41,3,Organic compounds,1,Lipids and lipid-like molecules,0.69047619,Steroids and steroid derivatives,0.416666667,Steroidal glycosides,0.259259259,Steroidal glycosides,0.259259259,Aliphatic heteropolycyclic compounds,0.464285714
2093,41,3,Organic compounds,1,Lipids and lipid-like molecules,0.69047619,Steroids and steroid derivatives,0.416666667,Steroidal glycosides,0.259259259,Steroidal glycosides,0.259259259,Aliphatic heteropolycyclic compounds,0.464285714
247,S113,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
248,S114,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
250,S115,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
251,S116,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
252,S117,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
253,79,2,Organic compounds,1,Lipids and lipid-like molecules,1,Prenol lipids,1,Sesquiterpenoids,0.5,"5,10-cycloaromadendrane sesquiterpenoids",0.5,Aromatic homopolycyclic compounds,0.5
870,79,2,Organic compounds,1,Lipids and lipid-like molecules,1,Prenol lipids,1,Sesquiterpenoids,0.5,"5,10-cycloaromadendrane sesquiterpenoids",0.5,Aromatic homopolycyclic compounds,0.5
254,258,2,Organic compounds,1,Lipids and lipid-like molecules,0.826388889,Fatty Acyls,0.541666667,Eicosanoids,0.423611111,Prostaglandins and related compounds,0.173611111,Aliphatic acyclic compounds,0.25
1335,258,2,Organic compounds,1,Lipids and lipid-like molecules,0.826388889,Fatty Acyls,0.541666667,Eicosanoids,0.423611111,Prostaglandins and related compounds,0.173611111,Aliphatic acyclic compounds,0.25
